instance_date,actual_worth,row_status_code,property_type_en,property_sub_type_en,area_name_en,actual_area
2/10/13,60000000,COMPLETED,Land,Commercial,Al Khabeesi,5574.15
3/10/13,230122350,COMPLETED,Land,Commercial,Al Goze Industrial Third,47509.01
3/10/13,300000,COMPLETED,Unit,Flat,Al Warsan First,29.31
3/10/13,300000,COMPLETED,Unit,Flat,Al Warsan First,29.31
3/10/13,232251875,COMPLETED,Land,Industrial,Ras Al Khor Industrial First,172615.17
3/10/13,93321500,COMPLETED,Land,Commercial,Port Saeed,5099.61
3/10/13,4725000,COMPLETED,Land,Residential,Al Barsha Third,1463.22
3/10/13,10000000,COMPLETED,Land,Commercial,Al Jadaf,1193.43
3/10/13,5250000,COMPLETED,Land,Residential,Al Wasl,1393.55
3/10/13,3000000,COMPLETED,Unit,Flat,Burj Khalifa,125.86
3/10/13,2000000,COMPLETED,Unit,Flat,Burj Khalifa,91.14
3/10/13,14000000,COMPLETED,Land,Commercial,Al Hudaiba,1151.5
6/10/13,20000000,COMPLETED,Unit,Flat,Marsa Dubai,586.03
7/10/13,4500000,COMPLETED,Unit,Flat,Burj Khalifa,320.14
7/10/13,311630400,COMPLETED,Land,Commercial,Al Garhoud,24126.17
7/10/13,129788850,COMPLETED,Land,Commercial,Rega Al Buteen,4019.25
8/10/13,1200000,COMPLETED,Unit,Flat,Al Thanyah Fifth,62.75
9/10/13,6830000,COMPLETED,Land,Commercial,Al Mararr,253.93
10/10/13,7474937,COMPLETED,Land,Residential,Warsan Fourth,5555.56
10/10/13,35000000,COMPLETED,Unit,Office,Burj Khalifa,1039.32
20-10-2013,1400000,COMPLETED,Land,Residential,Al Barsha South Fifth,180.42
20-10-2013,6500000,COMPLETED,Land,Residential,Al Barsha Second,1463.22
20-10-2013,3800000,COMPLETED,Land,,Al Warqa Fourth,1030.94
21-10-2013,24035000,COMPLETED,Land,Residential,Jumeirah First,4031.53
21-10-2013,1500000,COMPLETED,Unit,Flat,Marsa Dubai,113.28
21-10-2013,2200000,COMPLETED,Unit,Flat,Marsa Dubai,130.53
21-10-2013,2500000,COMPLETED,Building,Villa,Wadi Al Safa 6,251.67
21-10-2013,4400000,COMPLETED,Unit,Flat,Burj Khalifa,226.4
22-10-2013,605750,COMPLETED,Land,Residential,Hor Al Anz,224.36
22-10-2013,426512400,COMPLETED,Land,,Ras Al Khor Industrial Third,264161.88
22-10-2013,210672000,COMPLETED,Land,Residential Flats,Marsa Dubai,5592.06
23-10-2013,5000000,COMPLETED,Land,Industrial,Ras Al Khor Industrial Second,4340.8
23-10-2013,14782350,COMPLETED,Land,Commercial,Dubai Investment Park First,8323.16
24-10-2013,3600000,COMPLETED,Land,Residential,Wadi Al Safa 6,548.03
24-10-2013,2075850,COMPLETED,Land,Residential,Wadi Al Safa 5,551.01
24-10-2013,1000000,COMPLETED,Land,Residential,Abu Hail,232.22
24-10-2013,10000000,COMPLETED,Land,Commercial,Naif,246.29
24-10-2013,6000000,COMPLETED,Land,Commercial,Al Muteena,385.55
28-10-2013,51289600,COMPLETED,Land,Commercial,Al Saffa First,2978.11
28-10-2013,10700300,COMPLETED,Land,Commercial,Al Nahda Second,1529.37
29-10-2013,4500000,COMPLETED,Unit,Flat,Marsa Dubai,218.36
29-10-2013,1500000,COMPLETED,Land,Residential,Al Bada,232.26
29-10-2013,55000000,COMPLETED,Land,Residential,Al Rowaiyah First,4791.58
29-10-2013,5917200,COMPLETED,Land,Residential,Wadi Al Safa 3,916.21
30-10-2013,14044800,COMPLETED,Land,Residential,Al Barshaa South Third,5928.33
31-10-2013,26804400,COMPLETED,Land,Commercial,Al Qusais Second,1778.72
31-10-2013,99400000,COMPLETED,Land,General Authority,Um Hurair Second,54755.57
31-10-2013,46668900,COMPLETED,Land,General Authority,Um Hurair Second,14452.27
31-10-2013,2800000,COMPLETED,Land,Residential,Mirdif,696.77
5/11/13,13632500,COMPLETED,Land,,Um Ramool,3618.57
6/11/13,6000000,COMPLETED,Land,Commercial,Naif,87.24
6/11/13,1500000,COMPLETED,Land,Commercial,Eyal Nasser,379.79
7/11/13,50241600,COMPLETED,Land,Commercial,Al Jadaf,5834.49
7/11/13,6000000,COMPLETED,Land,Residential,Al Wasl,910.45
7/11/13,117436500,COMPLETED,Land,Organizations,Jumeirah First,7273.47
10/11/13,710000,COMPLETED,Unit,Flat,Al Hebiah First,101.36
10/11/13,6023000,COMPLETED,Land,Commercial,Wadi Al Safa 3,1119.09
10/11/13,50000000,COMPLETED,Land,Commercial,Al Thanayah Fourth,3582.61
18-06-2013,15317000,COMPLETED,Land,Residential,Jumeirah First,2845.99
18-06-2013,155000000,COMPLETED,Land,Commercial,Al Garhoud,3716.12
18-06-2013,34700000,COMPLETED,Land,Industrial,Ras Al Khor Industrial Second,14827.32
18-06-2013,4000000,COMPLETED,Land,Commercial,Al Thanayah Fourth,547.66
18-06-2013,4000000,COMPLETED,Land,Commercial,Al Thanayah Fourth,563.74
18-06-2013,20496050,COMPLETED,Land,Commercial,Al Jadaf,2240.17
18-06-2013,52000000,COMPLETED,Land,Commercial,Naif,1077.62
19-06-2013,440000,COMPLETED,Unit,Flat,Al Thanyah Fifth,38.66
23-06-2013,3800000,COMPLETED,Land,Residential,Jumeirah First,609.44
24-06-2013,105437400,COMPLETED,Land,Commercial,Al Safouh Second,12052.22
24-06-2013,6000000,COMPLETED,Land,Commercial,Al Thanyah Fifth,1138.73
24-06-2013,857500,COMPLETED,Land,Commercial,Al Satwa,227.59
24-06-2013,2500000,COMPLETED,Unit,Flat,Palm Jumeirah,201
25-06-2013,2850000,COMPLETED,Land,Residential,Muhaisanah First,1393.55
25-06-2013,155000000,COMPLETED,Land,Residential,Al Qusais Second,5351.21
26-06-2013,40000000,COMPLETED,Land,Commercial,Al Barsha First,4645.15
26-06-2013,1050000,COMPLETED,Unit,Flat,Burj Khalifa,43.59
26-06-2013,19588000,COMPLETED,Land,Commercial,Al Twar First,4549.46
30-06-2013,2900000,COMPLETED,Unit,Flat,Marsa Dubai,178.3
1/7/13,59369240,COMPLETED,Land,Commercial,Al Barsha First,21862.65
1/7/13,4900000,COMPLETED,Unit,Flat,Palm Jumeirah,180.6
1/7/13,54405000,COMPLETED,Land,Commercial,Al Barsha First,3887.99
1/7/13,1800000,COMPLETED,Unit,Flat,Burj Khalifa,84.17
1/7/13,5300000,COMPLETED,Unit,Flat,Palm Jumeirah,195.34
3/7/13,4300000,COMPLETED,Unit,Flat,Marsa Dubai,361.18
3/7/13,7500000,COMPLETED,Land,,Al Warqa First,1393.55
4/7/13,1300000,COMPLETED,Unit,Flat,Burj Khalifa,47.71
8/7/13,22009500,COMPLETED,Land,Commercial,Oud Metha,1363.03
8/7/13,7283820,COMPLETED,Land,Commercial,Al Barsha South Fourth,2255.63
8/7/13,6944000,COMPLETED,Land,Residential,Al Barsha Second,2016
10/7/13,6450000,COMPLETED,Land,Commercial,Al Warqa First,1393.55
10/7/13,28328400,COMPLETED,Land,Commercial,Mankhool,1462.14
14-07-2013,6500000,COMPLETED,Unit,Flat,Burj Khalifa,295.53
14-07-2013,6600000,COMPLETED,Unit,Flat,Burj Khalifa,304.94
15-07-2013,6500000,COMPLETED,Land,Commercial,Hor Al Anz East,1583.09
15-07-2013,39354600,COMPLETED,Land,Commercial,Mirdif,12187.2
15-07-2013,7600000,COMPLETED,Land,Residential,Al Manara,1194.18
15-07-2013,2100000,COMPLETED,Unit,Flat,Marsa Dubai,160.08
15-07-2013,500000,COMPLETED,Unit,Flat,Al Thanyah Fifth,39.22
16-07-2013,80000000,COMPLETED,Land,Commercial,Al Safouh First,2518.52
18-07-2013,800000,COMPLETED,Land,Residential,Hor Al Anz,211.35
21-07-2013,4000000,COMPLETED,Land,Residential,Mirdif,929.03
22-07-2013,25000000,COMPLETED,Land,Commercial,Al Nahda Second,1997.23
23-07-2013,6500000,COMPLETED,Land,Residential,Um Suqaim Third,929.03
23-07-2013,900000,COMPLETED,Unit,Office,Al Barsha South Fourth,167.69
23-07-2013,3616000,COMPLETED,Land,Commercial,Al Buteen,168.05
23-07-2013,580000,COMPLETED,Unit,Office,Al Barsha South Fourth,97.46
23-07-2013,860000,COMPLETED,Unit,Office,Al Barsha South Fourth,159.24
23-07-2013,800000,COMPLETED,Unit,Office,Al Barsha South Fourth,148.18
24-07-2013,3000000,COMPLETED,Land,Residential,Al Bada,225.94
24-07-2013,19667500,COMPLETED,Land,Commercial,Al Barsha First,1461.74
25-07-2013,4900000,COMPLETED,Land,Residential,Wadi Al Safa 6,763.66
25-07-2013,35856180,COMPLETED,Land,Residential,Um Suqaim Second,5743.36
25-07-2013,40000000,COMPLETED,Land,Industrial,Al Hebiah Fourth,3108.16
28-07-2013,29443770,COMPLETED,Land,Industrial,Um Ramool,10131.17
28-07-2013,7800000,COMPLETED,Land,Commercial,Al Ras,131.75
28-07-2013,86613000,COMPLETED,Land,Commercial,Al Rega,5364.35
28-07-2013,150969000,COMPLETED,Land,Residential,Al Muteena,14024.86
28-07-2013,20484750,COMPLETED,Land,Residential,Wadi Al Safa 4,3460.17
28-07-2013,20422350,COMPLETED,Land,Residential,Wadi Al Safa 4,2918.92
29-07-2013,603000,COMPLETED,Unit,Flat,Al Hebiah Fifth,93.39
29-07-2013,7601880,COMPLETED,Land,Residential Flats,Al Warqa First,1358.14
30-07-2013,6534000,COMPLETED,Land,Commercial,Al Mararr,275.92
30-07-2013,21394692,COMPLETED,Land,Commercial,Al Raffa,736.14
12/8/13,14500000,COMPLETED,Land,Residential,Al Aweer First,8362.11
12/8/13,24887800,COMPLETED,Land,Commercial,Al Hamriya,3095.44
12/8/13,1500000,COMPLETED,Unit,Flat,Burj Khalifa,112.51
12/8/13,6500000,COMPLETED,Land,Residential,Abu Hail,2248.25
14-08-2013,1689301,COMPLETED,Building,Villa,Al Thanayah Fourth,269.21
14-08-2013,92340000,COMPLETED,Land,Residential,Al Wasl,10723.3
14-08-2013,17282250,COMPLETED,Land,Commercial,Al Nahda Second,2140.76
15-08-2013,4000000,COMPLETED,Land,,Al Bada,288
20-08-2013,3900000,COMPLETED,Land,Commercial,Me'Aisem First,991.21
20-08-2013,3616800,COMPLETED,Unit,Flat,Burj Khalifa,101.82
25-08-2013,1140000,COMPLETED,Unit,Office,Al Thanyah Fifth,111.43
25-08-2013,22000000,COMPLETED,Land,Commercial,Al Barsha First,1383.6
25-08-2013,5700503760,COMPLETED,Land,Residential,Al Khairan First,3255276.02
25-08-2013,2621105250,COMPLETED,Land,Commercial,Burj Khalifa,324678.24
25-08-2013,1350000,COMPLETED,Unit,Flat,Marsa Dubai,93.09
26-08-2013,8500000,COMPLETED,Land,Commercial,Hor Al Anz,1441.67
26-08-2013,333574640,COMPLETED,Land,Villa,Al Rowaiyah First,759740.09
26-08-2013,10000000,COMPLETED,Unit,Shop,Al Thanyah Fifth,359.53
26-08-2013,2200000,COMPLETED,Unit,Flat,Marsa Dubai,166.74
26-08-2013,1516293,COMPLETED,Unit,Office,Al Thanyah Fifth,156.52
26-08-2013,1197019,COMPLETED,Unit,Office,Al Thanyah Fifth,117.06
27-08-2013,22475000,COMPLETED,Land,Commercial,Al Thanayah Fourth,3572.73
27-08-2013,15923220,COMPLETED,Land,,Oud Al Muteena First,8701.81
27-08-2013,21565194,COMPLETED,Land,Residential,Jumeirah Third,3339.12
28-08-2013,2300000,COMPLETED,Unit,Flat,Al Thanyah Third,140.86
2/9/13,4500000,COMPLETED,Building,Villa,Dubai Investment Park First,996.14
3/9/13,6180776,COMPLETED,Land,Commercial,Al Warsan First,2050.76
4/9/13,3003800,COMPLETED,Land,Commercial,Al Dhagaya,221.13
4/9/13,3000000,COMPLETED,Land,Commercial,Al Suq Al Kabeer,28.31
4/9/13,4000000,COMPLETED,Land,Residential,Mirdif,929
4/9/13,3720000,COMPLETED,Land,Commercial,Al Dhagaya,138.24
5/9/13,3500000,COMPLETED,Land,Residential,Nad Al Hamar,1114.84
8/9/13,23000000,COMPLETED,Land,Residential,Um Suqaim Third,3716.12
9/9/13,409446648,COMPLETED,Land,Residential,Al Yelayiss 1,946301.53
9/9/13,15472700,COMPLETED,Land,Residential,Mirdif,2614.52
10/9/13,3900000,COMPLETED,Land,Residential,Mirdif,929.03
10/9/13,12000000,COMPLETED,Land,Commercial,Al Ras,148.54
11/9/13,375271470,COMPLETED,Land,Villa,Al Rowaiyah First,759740.09
11/9/13,1600000,COMPLETED,Unit,Flat,Marsa Dubai,122.43
15-09-2013,485746950,COMPLETED,Land,Industrial,Jabal Ali Industrial First,265272.96
15-09-2013,4186000,COMPLETED,Land,Residential,Al Rashidiya,1944.46
15-09-2013,6346500,COMPLETED,Land,Residential,Al Thanyah Third,1149.02
15-09-2013,700000,COMPLETED,Unit,Office,Al Thanyah Fifth,71.35
16-09-2013,586500,COMPLETED,Land,Residential,Hor Al Anz,218.53
16-09-2013,52000000,COMPLETED,Land,Commercial,Mankhool,1641.6
16-09-2013,2168000,COMPLETED,Land,Commercial,Al Dhagaya,100.68
17-09-2013,15000000,COMPLETED,Land,Commercial,Dubai Investment Park Second,4999.96
17-09-2013,2270000000,COMPLETED,Land,Commercial,Al Warsan First,250678.77
17-09-2013,1100000,COMPLETED,Unit,Flat,Al Thanyah Third,69.03
18-09-2013,8000000,COMPLETED,Land,Residential,Jumeirah First,665.46
18-09-2013,3800000,COMPLETED,Unit,Flat,Marsa Dubai,252.01
19-09-2013,88007500,COMPLETED,Land,Residential Flats,Marsa Dubai,3270.46
19-09-2013,320000,COMPLETED,Unit,Flat,Warsan Fourth,42.36
19-09-2013,2800000,COMPLETED,Unit,Flat,Marsa Dubai,172.99
19-09-2013,320000,COMPLETED,Unit,Flat,Warsan Fourth,42.46
19-09-2013,320000,COMPLETED,Unit,Flat,Warsan Fourth,42.46
19-09-2013,2600000,COMPLETED,Unit,Flat,Marsa Dubai,159.25
19-09-2013,6500000,COMPLETED,Unit,Flat,Marsa Dubai,422.06
19-09-2013,320000,COMPLETED,Unit,Flat,Warsan Fourth,42.46
22-09-2013,1700000,COMPLETED,Land,Commercial,Al Waheda,929.96
22-09-2013,1350000,COMPLETED,Unit,Flat,Al Thanyah Fifth,97.87
23-09-2013,8250000,COMPLETED,Land,Commercial,Al Warqa First,1394
23-09-2013,20267650,COMPLETED,Land,,Al Warqa First,2896.79
23-09-2013,15569870,COMPLETED,Land,Residential,Al Barshaa South Third,6727.85
24-09-2013,5140000,COMPLETED,Land,,Muhaisanah Fourth,1193.8
25-09-2013,13546750,COMPLETED,Land,Residential,Al Bada,1873.76
30-09-2013,36000000,COMPLETED,Land,Residential Flats,Al Nahda Second,4180.65
30-09-2013,12038000,COMPLETED,Land,Commercial,Al Khabeesi,2795.25
30-09-2013,2300000,COMPLETED,Unit,Flat,Marsa Dubai,131.22
1/10/13,17969000,COMPLETED,Land,Commercial,Al Barsha First,1192.41
2/10/13,212270000,COMPLETED,Land,Commercial,Al Karama,19672.96
2/10/13,16000000,COMPLETED,Land,Commercial,Al Khabeesi,1858.06
2/10/13,26942400,COMPLETED,Land,Commercial,Al Karama,2085.86
2/10/13,34080000,COMPLETED,Land,Commercial,Al Garhoud,6894.26
2/10/13,1400000,COMPLETED,Unit,Flat,Marsa Dubai,78.41
6/10/13,7960000,COMPLETED,Land,Industrial,Ras Al Khor Industrial First,3697.54
6/10/13,26432900,COMPLETED,Land,Commercial,Al Jadaf,1889
6/10/13,1200000,COMPLETED,Land,Residential,Al Bada,232.26
7/10/13,241140000,COMPLETED,Land,Residential,Jumeirah First,22402.63
7/10/13,4301500,COMPLETED,Land,Commercial,Al Muteena,799.24
7/10/13,11250000,COMPLETED,Land,Commercial,Al Mararr,418.06
8/10/13,5000000,COMPLETED,Unit,Flat,Marsa Dubai,317.19
8/10/13,850000,COMPLETED,Unit,Flat,Marsa Dubai,86.03
8/10/13,9000000,COMPLETED,Land,Residential,Al Mamzer,1839.48
8/10/13,3721000,COMPLETED,Unit,Flat,Marsa Dubai,216.09
8/10/13,1600000,COMPLETED,Unit,Flat,Marsa Dubai,89.37
9/10/13,67297500,COMPLETED,Land,,Mankhool,2500.79
9/10/13,2200000,COMPLETED,Unit,Flat,Marsa Dubai,127.5
10/10/13,11529700,COMPLETED,Land,Commercial,Mirdif,1530.21
20-10-2013,2100000,COMPLETED,Unit,Flat,Al Thanyah Third,153.48
21-10-2013,20000000,COMPLETED,Land,Commercial,Al Ras,423.69
21-10-2013,37706000,COMPLETED,Land,Commercial,Mankhool,1751.46
21-10-2013,4297600,COMPLETED,Land,Residential,Al Rashidiya,2348.58
22-10-2013,12900000,COMPLETED,Land,Industrial,Um Ramool,4000.59
22-10-2013,28378700,COMPLETED,Land,Labor Camp,Jabal Ali Industrial First,1890.15
22-10-2013,6960600,COMPLETED,Land,Commercial,Al Suq Al Kabeer,359.26
23-10-2013,84371000,COMPLETED,Land,Commercial,Al Karama,5598.8
24-10-2013,34000000,COMPLETED,Land,Commercial,Naif,433.23
24-10-2013,45000000,COMPLETED,Land,Commercial,Naif,1240.25
24-10-2013,1700000,COMPLETED,Unit,Flat,Marsa Dubai,52.46
24-10-2013,2200000,COMPLETED,Land,Residential,Hor Al Anz East,1021.93
24-10-2013,7000000,COMPLETED,Unit,Flat,Burj Khalifa,193.42
24-10-2013,35740800,COMPLETED,Land,Commercial,Mankhool,1844.71
24-10-2013,3000000,COMPLETED,Land,Commercial,Al Muteena,408.77
24-10-2013,1850000,COMPLETED,Land,Commercial,Hor Al Anz,220.64
27-10-2013,1400000,COMPLETED,Unit,Flat,Marsa Dubai,89.22
29-10-2013,700000,COMPLETED,Unit,Flat,Al Barsha South Fourth,85.7
29-10-2013,10500000,COMPLETED,Land,Residential,Um Al Sheif,1393.55
29-10-2013,153444200,COMPLETED,Land,Commercial,Al Mamzer,10182.45
30-10-2013,5496000,COMPLETED,Land,Industrial,Al Jadaf,2552.97
30-10-2013,5928480,COMPLETED,Land,Agricultural,Al Warsan Third,6884.67
30-10-2013,71000000,COMPLETED,Land,Commercial,Al Karama,2345.35
30-10-2013,175000000,COMPLETED,Land,Residential,Muhaisanah Fourth,11111.2
30-10-2013,170000000,COMPLETED,Land,Residential,Muhaisanah Fourth,16679.8
31-10-2013,3400000,COMPLETED,Land,Residential,Al Muteena,244.1
31-10-2013,10000000,COMPLETED,Land,Residential,Jumeirah First,658.5
31-10-2013,2734800,COMPLETED,Land,Residential,Al Bada,211.73
5/11/13,13000000,COMPLETED,Land,Residential,Um Suqaim First,1366.32
5/11/13,600000,COMPLETED,Unit,Flat,Al Thanyah Fifth,54.28
5/11/13,850000,COMPLETED,Unit,Office,Al Thanyah Fifth,104.54
10/11/13,9239750,COMPLETED,Unit,Hotel Apartment,Burj Khalifa,171.68
10/11/13,29734000,COMPLETED,Land,Residential Flats,Marsa Dubai,2762.38
10/11/13,55000000,COMPLETED,Land,Residential,Al Saffa Second,4775.21
10/11/13,5300000,COMPLETED,Land,Residential,Jabal Ali First,600
11/11/13,35940000,COMPLETED,Land,Commercial,Al Karama,2225.96
11/11/13,3600000,COMPLETED,Land,Residential,Al Mizhar First,1393.55
11/11/13,4650000,COMPLETED,Land,Residential,Al Mizhar First,1393.55
11/11/13,30417200,COMPLETED,Land,Commercial,Mankhool,1284.5
11/11/13,53502240,COMPLETED,Land,Commercial,Naif,828.42
11/11/13,50414160,COMPLETED,Land,Commercial,Dubai Investment Park Second,39030.24
18-06-2013,140000000,COMPLETED,Land,Commercial,Al Karama,5050.86
18-06-2013,5000000,COMPLETED,Land,Commercial,Al Thanayah Fourth,609.16
18-06-2013,16000000,COMPLETED,Land,Commercial,Palm Jumeirah,1244.71
20-06-2013,29956500,COMPLETED,Land,Commercial,Al Qusais Industrial Third,3092.28
20-06-2013,158062000,COMPLETED,Land,General Use,Mankhool,7341.96
20-06-2013,63872200,COMPLETED,Land,Commercial,Al Jadaf,2750.67
23-06-2013,14524000,COMPLETED,Land,Commercial,Al Qusais Industrial Third,1686.65
23-06-2013,2500000,COMPLETED,Land,Residential,Jabal Ali First,222.6
24-06-2013,55058200,COMPLETED,Land,Commercial,Al Safouh Second,6730.4
24-06-2013,600000,COMPLETED,Unit,Flat,Jabal Ali,82
24-06-2013,6051110,COMPLETED,Land,Industrial,Saih Shuaib 2,4324.36
24-06-2013,23000000,COMPLETED,Land,Commercial,Al Suq Al Kabeer,480.31
24-06-2013,5152000,COMPLETED,Land,Commercial,Hor Al Anz,598.3
24-06-2013,38000000,COMPLETED,Land,Residential,Jumeirah Third,6697.38
25-06-2013,212897100,COMPLETED,Land,Commercial,Al Safouh Second,15214.44
25-06-2013,12000000,COMPLETED,Land,Agricultural,Lehbab First,37375.06
25-06-2013,4003650,COMPLETED,Land,Residential,Mankhool,1062.72
26-06-2013,1700000,COMPLETED,Unit,Office,Al Thanyah Fifth,157.14
26-06-2013,10000000,COMPLETED,Land,Residential,Al Manara,929.03
26-06-2013,450000000,COMPLETED,Land,Commercial,Trade Center Second,929.03
26-06-2013,4500000,COMPLETED,Land,Residential,Al Manara,463.77
26-06-2013,64482000,COMPLETED,Land,Residential Flats,Marsa Dubai,3993.71
26-06-2013,216000000,COMPLETED,Land,Commercial,Muhaisanah First,50167.62
26-06-2013,2500000,COMPLETED,Land,Residential,Al Twar Fourth,929.03
27-06-2013,24417900,COMPLETED,Land,Commercial,Al Qusais Industrial Fifth,2520.55
27-06-2013,4050000,COMPLETED,Land,Commercial,Al Mararr,150.5
27-06-2013,1804950,COMPLETED,Land,Residential,Al Khabeesi,372.68
27-06-2013,3300000,COMPLETED,Building,Villa,Al Thanayah Fourth,370.83
27-06-2013,19165250,COMPLETED,Land,Residential,Al Nahda Second,2739.24
30-06-2013,42000000,COMPLETED,Land,Commercial,Eyal Nasser,391.98
1/7/13,8000000,COMPLETED,Land,Commercial,Palm Jumeirah,423.26
1/7/13,5600000,COMPLETED,Unit,Flat,Palm Jumeirah,207.27
1/7/13,3600000,COMPLETED,Unit,Flat,Palm Jumeirah,136.65
2/7/13,1300000,COMPLETED,Unit,Flat,Al Hebiah Fifth,217.07
2/7/13,650000,COMPLETED,Unit,Flat,Dubai Investment Park First,90.72
2/7/13,1850000,COMPLETED,Unit,Flat,Palm Jumeirah,106.41
2/7/13,1000000,COMPLETED,Land,Residential,Abu Hail,363.25
2/7/13,6500000,COMPLETED,Land,Residential,Al Jafliya,1724.93
2/7/13,1100000,COMPLETED,Unit,Flat,Al Thanyah Fifth,85.16
2/7/13,87857000,COMPLETED,Land,Commercial,Um Hurair Second,5830.13
4/7/13,2569450,COMPLETED,Land,Commercial,Al Muteena,367.69
4/7/13,1300000,COMPLETED,Unit,Flat,Burj Khalifa,47.71
4/7/13,1760000,COMPLETED,Unit,Flat,Burj Khalifa,71.31
4/7/13,1800000,COMPLETED,Unit,Flat,Burj Khalifa,75.34
4/7/13,31268000,COMPLETED,Land,Residential Flats,Marsa Dubai,3631.11
4/7/13,6800000,COMPLETED,Land,Residential,Mirdif,904.6
4/7/13,3000000,COMPLETED,Land,Commercial,Muhaisanah Second,929.03
8/7/13,7800000,COMPLETED,Land,,Al Warqa First,1393.55
9/7/13,83843100,COMPLETED,Land,Commercial,Mankhool,4720.68
11/7/13,6000000,COMPLETED,Land,Commercial,Al Thanyah Fifth,933.3
14-07-2013,11935200,COMPLETED,Land,Industrial,Al Hebiah Fourth,2772.04
15-07-2013,2637250,COMPLETED,Land,Residential,Al Goze First,608.51
15-07-2013,4018500,COMPLETED,Land,Residential,Jumeirah Third,746.66
17-07-2013,15602400,COMPLETED,Land,Commercial,Al Barsha First,1317.74
17-07-2013,6660000,COMPLETED,Land,Residential,Jumeirah Third,1374.96
18-07-2013,5000000,COMPLETED,Land,Commercial,Lehbab Second,3716.12
18-07-2013,12000000,COMPLETED,Land,Commercial,Jumeirah First,1858.06
23-07-2013,1716000,COMPLETED,Land,Residential,Hor Al Anz,319.72
23-07-2013,730000,COMPLETED,Unit,Office,Al Barsha South Fourth,135.36
24-07-2013,1875000,COMPLETED,Land,Residential,Hor Al Anz,232.25
28-07-2013,16498750,COMPLETED,Land,Commercial,Al Barsha First,1254.1
28-07-2013,7500000,COMPLETED,Land,Residential,Um Suqaim First,929.03
28-07-2013,63367500,COMPLETED,Land,Commercial,Al Raffa,3925.22
28-07-2013,6525200,COMPLETED,Land,,Jumeirah First,1102.2
28-07-2013,1500000,COMPLETED,Land,Commercial,Al Muteena,185.81
28-07-2013,2200000,COMPLETED,Unit,Flat,Palm Jumeirah,162.18
30-07-2013,7120000,COMPLETED,Land,Commercial,Al Mararr,264.47
1/8/13,1100000,COMPLETED,Unit,Office,Burj Khalifa,81.73
6/8/13,27540000,COMPLETED,Land,Commercial,Al Nahda First,2693.35
6/8/13,3600000,COMPLETED,Land,Residential,Al Bada,232.26
6/8/13,4000000,COMPLETED,Land,Residential,Al Bada,227.61
13-08-2013,137390000,COMPLETED,Land,Industrial,Al Goze Industrial First,46414.34
13-08-2013,38000000,COMPLETED,Land,School,Al Waheda,17651.84
14-08-2013,15581487,COMPLETED,Land,Residential,Al Barshaa South Third,5790.27
18-08-2013,2900000,COMPLETED,Unit,Flat,Marsa Dubai,223.76
19-08-2013,74538000,COMPLETED,Land,hospital/Nursing School,Mirdif,11541.34
20-08-2013,5662800,COMPLETED,Unit,Flat,Burj Khalifa,159.42
20-08-2013,1000000,COMPLETED,Unit,Office,Al Thanyah Fifth,113.21
20-08-2013,3500000,COMPLETED,Land,Commercial,Me'Aisem First,479.07
20-08-2013,7898200,COMPLETED,Unit,Flat,Burj Khalifa,215.81
20-08-2013,7080000,COMPLETED,Unit,Flat,Burj Khalifa,175.4
21-08-2013,5700000,COMPLETED,Unit,Flat,Burj Khalifa,221.02
22-08-2013,32068000,COMPLETED,Land,Residential Flats,Jabal Ali First,3724.02
22-08-2013,9750000,COMPLETED,Land,Residential,Al Saffa Second,1811.61
22-08-2013,400000000,COMPLETED,Land,Commercial,Al Wasl,19728.77
22-08-2013,3450000,COMPLETED,Land,Residential,Nad Al Hamar,1393.55
22-08-2013,1200000,COMPLETED,Unit,Office,Al Thanyah Fifth,111.42
25-08-2013,1627200,COMPLETED,Unit,Office,Al Thanyah Fifth,117.75
25-08-2013,1626300,COMPLETED,Unit,Office,Al Thanyah Fifth,157.14
25-08-2013,1624500,COMPLETED,Unit,Office,Al Thanyah Fifth,157.36
25-08-2013,1200000,COMPLETED,Unit,Office,Al Thanyah Fifth,117.06
25-08-2013,3000000,COMPLETED,Unit,Hotel Apartment,Burj Khalifa,89.09
26-08-2013,6000000,COMPLETED,Land,Commercial,Al Khabeesi,1104.94
26-08-2013,7500000,COMPLETED,Land,Commercial,Hor Al Anz,884.44
26-08-2013,80000000,COMPLETED,Land,Residential,Al Murqabat,3716.12
26-08-2013,2200000,COMPLETED,Unit,Flat,Marsa Dubai,146.2
26-08-2013,1518327,COMPLETED,Unit,Office,Al Thanyah Fifth,156.73
26-08-2013,2600000,COMPLETED,Building,Villa,Al Thanayah Fourth,365
26-08-2013,45000000,COMPLETED,Land,Commercial,Al Barsha First,1393.55
27-08-2013,5995560,COMPLETED,Land,Industrial,Jabal Ali Industrial First,4641.67
27-08-2013,29689800,COMPLETED,Land,Commercial,Port Saeed,1970.26
27-08-2013,650000000,COMPLETED,Land,Residential,Wadi Al Safa 7,274017.97
1/9/13,55924500,COMPLETED,Land,Residential,Business Bay,3463.67
2/9/13,12658000,COMPLETED,Land,,Ras Al Khor Industrial Second,2939.88
3/9/13,87170970,COMPLETED,Land,Residential Flats,Marsa Dubai,3417.07
3/9/13,15825000,COMPLETED,Land,Commercial,Al Khabeesi,4900.7
3/9/13,194388000,COMPLETED,Land,Commercial,Al Suq Al Kabeer,8100.58
3/9/13,6380400,COMPLETED,Land,Residential,Mirdif,1481.9
